,SP500,USD_EUR,USD_GBP
2011-11-29,93.1737060546875,1.3343,1.5625
2011-11-30,97.00775146484375,1.3453,1.5705
2011-12-01,96.99225616455078,1.3487,1.5698
2011-12-02,96.90685272216797,1.3386,1.5592
2011-12-05,97.96240997314453,1.3463,1.5689
2011-12-06,97.99346160888672,1.3397,1.558
2011-12-07,98.35823822021484,1.3386,1.5691
2011-12-08,96.20061492919922,1.3324,1.5635
2011-12-09,97.8304443359375,1.3368,1.5642
2011-12-12,96.40238189697266,1.3188,1.5597
2011-12-13,95.50208282470703,1.3094,1.5528
2011-12-14,94.48536682128906,1.2972,1.5445
2011-12-15,94.82685089111328,1.3013,1.5486
2011-12-16,94.96745300292969,1.3025,1.5514
2011-12-19,93.95207214355469,1.3017,1.5531
2011-12-20,96.79509735107422,1.3076,1.5674
2011-12-21,96.98252868652344,1.304,1.568
2011-12-22,97.84169006347656,1.3045,1.5667
2011-12-23,98.71646118164062,1.304,1.5615
2011-12-26,,,
2011-12-27,98.79456329345703,1.3074,1.5671
2011-12-28,97.49806213378906,1.2926,1.5478
2011-12-29,98.5055923461914,1.2952,1.5386
2011-12-30,98.02133178710938,1.2973,1.5537
2012-01-02,,,
2012-01-03,99.58340454101562,1.3061,1.5655
2012-01-04,99.73961639404297,1.293,1.5638
2012-01-05,100.00519561767578,1.2783,1.548
2012-01-06,99.7474594116211,1.2723,1.5431
2012-01-09,99.98957061767578,1.2745,1.5436
2012-01-10,100.85651397705078,1.2782,1.5489
2012-01-11,100.91120910644531,1.2686,1.5325
2012-01-12,101.15335083007812,1.2818,1.5325
2012-01-13,100.63001251220703,1.2682,1.5301
2012-01-16,,,
2012-01-17,101.02055358886719,1.274,1.5356
2012-01-18,102.13748168945312,1.2825,1.541
2012-01-19,102.67636108398438,1.2937,1.5484
2012-01-20,103.05908966064453,1.2948,1.554
2012-01-23,102.79351043701172,1.3035,1.5582
2012-01-24,102.67636108398438,1.3004,1.5595
2012-01-25,103.53553771972656,1.2978,1.557
2012-01-26,103.00437927246094,1.3152,1.5706
2012-01-27,102.95755004882812,1.3192,1.5716
2012-01-30,102.6060791015625,1.3123,1.569
2012-01-31,102.5670166015625,1.3053,1.5754
2012-02-01,103.46526336669922,1.3179,1.5849
2012-02-02,103.62925720214844,1.3167,1.5813
2012-02-03,105.08198547363281,1.3106,1.5779
2012-02-06,105.01171875,1.313,1.5832
2012-02-07,105.27725982666016,1.3244,1.5891
2012-02-08,105.58968353271484,1.3253,1.582
2012-02-09,105.72245025634766,1.3297,1.5838
2012-02-10,104.94139862060547,1.3187,1.5748
2012-02-13,105.72245025634766,1.3211,1.578
2012-02-14,105.58968353271484,1.3149,1.5691
2012-02-15,105.09762573242188,1.3087,1.571
2012-02-16,106.26138305664062,1.311,1.5795
2012-02-17,106.54252624511719,1.3149,1.5813
2012-02-20,,,
2012-02-21,106.58943939208984,1.3255,1.5796
2012-02-22,106.24578857421875,1.3251,1.5677
2012-02-23,106.71436309814453,1.3308,1.57
2012-02-24,106.94869995117188,1.3463,1.5869
2012-02-27,107.12835693359375,1.341,1.5845
2012-02-28,107.44076538085938,1.3452,1.5887
2012-02-29,107.01900482177734,1.3359,1.5951
2012-03-01,107.57357025146484,1.332,1.5953
2012-03-02,107.24549865722656,1.3202,1.5852
2012-03-05,106.80810546875,1.3226,1.587
2012-03-06,105.24598693847656,1.3114,1.572
2012-03-07,105.98019409179688,1.3149,1.5746
2012-03-08,107.03461456298828,1.3256,1.5822
2012-03-09,107.44855499267578,1.3108,1.5677
2012-03-12,107.45636749267578,1.3141,1.5615
2012-03-13,109.39337921142578,1.3109,1.5736
2012-03-14,109.2762680053711,1.3025,1.5686
2012-03-15,109.90888977050781,1.307,1.5669
2012-03-16,110.06108093261719,1.3171,1.5845
2012-03-19,110.49250793457031,1.3242,1.5894
2012-03-20,110.17086791992188,1.3222,1.5857
2012-03-21,109.99044799804688,1.319,1.5848
2012-03-22,109.1981201171875,1.3194,1.5807
2012-03-23,109.55113220214844,1.3263,1.5864
2012-03-26,111.0887222290039,1.3328,1.5939
2012-03-27,110.74354553222656,1.3336,1.5972
2012-03-28,110.19439697265625,1.33,1.5855
2012-03-29,110.00615692138672,1.3265,1.5911
2012-03-30,110.46111297607422,1.3334,1.5985
2012-04-02,111.26911926269531,1.3325,1.6022
2012-04-03,110.81414031982422,1.3337,1.5966
2012-04-04,109.71588134765625,1.3126,1.5879
2012-04-05,109.66093444824219,1.3064,1.5822
2012-04-06,,1.3089,1.5877
2012-04-09,108.42935180664062,1.3087,1.5879
2012-04-10,106.6093978881836,1.3068,1.5836
2012-04-11,107.47230529785156,1.3104,1.5892
2012-04-12,108.87650299072266,1.3171,1.5939
2012-04-13,107.58212280273438,1.3082,1.5851
2012-04-16,107.51150512695312,1.3067,1.5865
2012-04-17,109.10398864746094,1.3123,1.5931
2012-04-18,108.73526000976562,1.3122,1.602
2012-04-19,108.037109375,1.3132,1.6058
2012-04-20,108.2175521850586,1.3212,1.6123
2012-04-23,107.30758666992188,1.3129,1.6102
2012-04-24,107.71550750732422,1.3207,1.6135
2012-04-25,109.1903076171875,1.321,1.6146
2012-04-26,109.95124816894531,1.3232,1.6188
2012-04-27,110.13166046142578,1.3248,1.6239
2012-04-30,109.72373962402344,1.3229,1.6225
2012-05-01,110.4062271118164,1.3226,1.6221
2012-05-02,110.07672882080078,1.3154,1.6193
2012-05-03,109.23737335205078,1.3147,1.6185
2012-05-04,107.47230529785156,1.3091,1.6148
2012-05-07,107.55072784423828,1.3052,1.6192
2012-05-08,107.11927032470703,1.3015,1.6159
2012-05-09,106.48384094238281,1.2954,1.613
2012-05-10,106.7035140991211,1.2959,1.6161
2012-05-11,106.38188934326172,1.2937,1.608
2012-05-14,105.2051773071289,1.2847,1.6116
2012-05-15,104.6011734008789,1.2769,1.6025
2012-05-16,104.20105743408203,1.273,1.5933
2012-05-17,102.65567016601562,1.2709,1.5823
2012-05-18,101.7770767211914,1.2721,1.5788
2012-05-21,103.52642822265625,1.2769,1.579
2012-05-22,103.70684814453125,1.2735,1.5775
2012-05-23,103.76174926757812,1.2569,1.5691
2012-05-24,103.96571350097656,1.2583,1.5698
2012-05-25,103.6283950805664,1.2518,1.5648
2012-05-28,,,
2012-05-29,104.883544921875,1.2488,1.563
2012-05-30,103.36170196533203,1.2405,1.5532
2012-05-31,103.13420867919922,1.2364,1.5405
2012-06-01,100.53759765625,1.242,1.5383
2012-06-04,100.49054718017578,1.2495,1.5382
2012-06-05,101.25148010253906,1.2437,1.5355
2012-06-06,103.52642822265625,1.2535,1.5475
2012-06-07,103.58918762207031,1.2568,1.5557
